algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,intersection,android,w2v,10.0,26.0,31.0,41.0,43.0,0.4385884732404026,1.8105084896087646,587.0
craftdroid,craftdroid,android,w2v,6.0,21.0,29.0,39.0,40.0,0.3834407058277855,2.623800039291382,589.0
craftdroid,atm,android,w2v,11.0,27.0,32.0,41.0,42.0,0.44737532131296504,1.8498566150665283,599.0
custom,union,android,w2v,16.0,36.0,43.0,45.0,48.0,0.5417679360113569,5.240900278091431,2748.0
custom,intersection,android,w2v,14.0,25.0,35.0,43.0,44.0,0.47679115237038566,3.2937991619110107,1184.0
custom,craftdroid,android,w2v,14.0,34.0,41.0,44.0,46.0,0.5179021127681841,4.133915901184082,2432.0
custom,atm,android,w2v,20.0,31.0,42.0,47.0,48.0,0.5676792766548404,3.759237289428711,1409.0
atm_0,union,android,w2v,14.0,25.0,30.0,38.0,42.0,0.47340740177274243,7.431766748428345,2571.0
atm_0,intersection,android,w2v,11.0,23.0,30.0,37.0,40.0,0.4259034946757289,2.255770206451416,1188.0
atm_0,craftdroid,android,w2v,14.0,26.0,31.0,39.0,42.0,0.48064882106773316,6.060122013092041,2444.0
atm_0,atm,android,w2v,13.0,30.0,35.0,41.0,44.0,0.4807220870190794,4.173395156860352,1294.0
craftdroid,union,blogs,w2v,8.0,18.0,28.0,35.0,36.0,0.3728236599663788,24.143913745880127,261.0
craftdroid,intersection,blogs,w2v,9.0,22.0,27.0,35.0,37.0,0.39990827661663303,1.8268074989318848,249.0
craftdroid,craftdroid,blogs,w2v,7.0,17.0,28.0,35.0,36.0,0.36329985044256924,3.4310097694396973,249.0
craftdroid,atm,blogs,w2v,11.0,24.0,28.0,35.0,37.0,0.4192109977050684,1.8707537651062012,261.0
custom,union,blogs,w2v,14.0,28.0,37.0,44.0,46.0,0.48921800578285524,4.161868333816528,1321.0
custom,intersection,blogs,w2v,9.0,20.0,33.0,37.0,37.0,0.40567348143710913,3.350468158721924,515.0
custom,craftdroid,blogs,w2v,15.0,26.0,39.0,44.0,45.0,0.505940271612264,4.565779447555542,1083.0
custom,atm,blogs,w2v,13.0,24.0,35.0,37.0,37.0,0.4515705159502152,3.278660774230957,663.0
atm_0,union,blogs,w2v,14.0,27.0,33.0,38.0,40.0,0.48559082744454257,7.896768569946289,1166.0
atm_0,intersection,blogs,w2v,14.0,26.0,34.0,40.0,42.0,0.47461722193697214,2.2531986236572266,519.0
atm_0,craftdroid,blogs,w2v,14.0,27.0,33.0,38.0,40.0,0.48763808574180084,5.403039932250977,1093.0
atm_0,atm,blogs,w2v,18.0,31.0,36.0,42.0,44.0,0.5266474090118022,4.8866026401519775,570.0
craftdroid,union,standard,w2v,8.0,18.0,31.0,37.0,40.0,0.3905385435059804,45.16126370429993,2451.0
craftdroid,intersection,standard,w2v,9.0,25.0,29.0,40.0,43.0,0.43028647384019914,2.0619025230407715,1141.0
craftdroid,craftdroid,standard,w2v,8.0,18.0,32.0,38.0,41.0,0.39974722697936965,2.8344874382019043,2437.0
craftdroid,atm,standard,w2v,10.0,24.0,29.0,39.0,43.0,0.42498602032545996,1.9623916149139404,1155.0
custom,union,standard,w2v,17.0,34.0,38.0,43.0,46.0,0.5430626417233559,4.694239139556885,10395.0
custom,intersection,standard,w2v,14.0,28.0,35.0,42.0,44.0,0.49668482777726464,3.609592914581299,2331.0
custom,craftdroid,standard,w2v,14.0,30.0,38.0,42.0,45.0,0.5093222224787349,4.315235614776611,9032.0
custom,atm,standard,w2v,17.0,31.0,39.0,43.0,45.0,0.5338487368631663,3.6189658641815186,2951.0
atm_0,union,standard,w2v,13.0,29.0,38.0,42.0,42.0,0.5010724997069534,8.110319375991821,10150.0
atm_0,intersection,standard,w2v,15.0,28.0,35.0,43.0,45.0,0.5035775848801057,3.1066503524780273,2335.0
atm_0,craftdroid,standard,w2v,13.0,29.0,38.0,42.0,42.0,0.5013205155799693,6.448060989379883,9059.0
atm_0,atm,standard,w2v,16.0,33.0,38.0,43.0,45.0,0.5235183547103051,4.306386470794678,2788.0
craftdroid,union,googleplay,w2v,9.0,21.0,29.0,37.0,39.0,0.41255500050142896,23.26155734062195,6.0
craftdroid,intersection,googleplay,w2v,18.0,29.0,35.0,43.0,45.0,0.5389512014483212,1.81856369972229,0.0
craftdroid,craftdroid,googleplay,w2v,9.0,20.0,30.0,37.0,39.0,0.41642404812047656,3.3998477458953857,0.0
craftdroid,atm,googleplay,w2v,20.0,30.0,36.0,43.0,45.0,0.5534920177748519,1.843522310256958,6.0
custom,union,googleplay,w2v,19.0,36.0,42.0,46.0,50.0,0.5758361678004535,4.221943378448486,244.0
custom,intersection,googleplay,w2v,15.0,30.0,39.0,44.0,44.0,0.5206816575993594,3.4136462211608887,53.0
custom,craftdroid,googleplay,w2v,17.0,30.0,39.0,43.0,48.0,0.5417677377968729,4.598559856414795,129.0
custom,atm,googleplay,w2v,17.0,29.0,43.0,48.0,50.0,0.541798867109426,3.31613826751709,123.0
atm_0,union,googleplay,w2v,15.0,28.0,33.0,39.0,42.0,0.5059220491809777,7.9614715576171875,236.0
atm_0,intersection,googleplay,w2v,16.0,26.0,33.0,39.0,42.0,0.4976802526566181,2.268533229827881,53.0
atm_0,craftdroid,googleplay,w2v,15.0,28.0,33.0,40.0,42.0,0.5073109380698666,5.310200452804565,129.0
atm_0,atm,googleplay,w2v,19.0,30.0,34.0,41.0,44.0,0.5309838518740829,4.92708945274353,115.0
craftdroid,union,standard,nnlm,9.0,19.0,28.0,35.0,37.0,0.38748794803776,13.688133001327515,251.0
craftdroid,intersection,standard,nnlm,12.0,23.0,30.0,38.0,40.0,0.4407772397157368,4.652642250061035,229.0
craftdroid,craftdroid,standard,nnlm,8.0,19.0,27.0,35.0,37.0,0.3828613246611365,8.690045595169067,248.0
craftdroid,atm,standard,nnlm,12.0,24.0,31.0,39.0,40.0,0.44236454130303837,4.96912407875061,232.0
custom,union,standard,nnlm,22.0,28.0,36.0,42.0,45.0,0.5539742499563928,6.574315309524536,0.0
custom,intersection,standard,nnlm,15.0,27.0,34.0,40.0,43.0,0.49422481911424837,6.646031379699707,168.0
custom,craftdroid,standard,nnlm,17.0,28.0,36.0,44.0,47.0,0.5354677564498992,6.174673557281494,0.0
custom,atm,standard,nnlm,18.0,30.0,38.0,42.0,44.0,0.5253595078382228,6.517934083938599,143.0
atm_0,union,standard,nnlm,15.0,31.0,43.0,50.0,50.0,0.564859693877551,18.74060297012329,1207.0
atm_0,intersection,standard,nnlm,16.0,27.0,35.0,40.0,42.0,0.5060523619029256,11.17740774154663,3361.0
atm_0,craftdroid,standard,nnlm,17.0,32.0,43.0,50.0,50.0,0.5856930272108843,16.996065139770508,1281.0
atm_0,atm,standard,nnlm,18.0,30.0,38.0,42.0,43.0,0.5257936288550508,14.179810285568237,3327.0
craftdroid,union,standard,use,12.0,21.0,32.0,37.0,41.0,0.43672578880036833,33.738641023635864,189.0
craftdroid,intersection,standard,use,15.0,27.0,35.0,40.0,43.0,0.5028337290627206,10.754990816116333,188.0
craftdroid,craftdroid,standard,use,11.0,21.0,32.0,37.0,41.0,0.43501222458680416,20.443093299865723,189.0
craftdroid,atm,standard,use,16.0,27.0,35.0,40.0,43.0,0.5056136871998216,10.905130624771118,188.0
custom,union,standard,use,17.0,32.0,39.0,42.0,43.0,0.5234660283613485,18.205284595489502,0.0
custom,intersection,standard,use,18.0,33.0,39.0,45.0,46.0,0.5591797247259431,12.34425973892212,245.0
custom,craftdroid,standard,use,15.0,31.0,41.0,42.0,44.0,0.5239448051948052,12.421030759811401,0.0
custom,atm,standard,use,18.0,36.0,42.0,45.0,46.0,0.5531757712899905,12.503764390945435,268.0
atm_0,union,standard,use,11.0,30.0,42.0,45.0,50.0,0.5079628861113823,41.166120290756226,946.0
atm_0,intersection,standard,use,15.0,24.0,37.0,39.0,42.0,0.4892592607708267,28.660046339035034,2035.0
atm_0,craftdroid,standard,use,12.0,31.0,42.0,45.0,50.0,0.5240343146828108,39.19707131385803,939.0
atm_0,atm,standard,use,19.0,30.0,39.0,40.0,44.0,0.5392167437640241,34.093024492263794,2120.0
craftdroid,union,android,glove,9.0,22.0,29.0,35.0,37.0,0.4066612558032615,3.1373167037963867,3468.0
craftdroid,intersection,android,glove,9.0,28.0,31.0,39.0,41.0,0.4298683282778736,1.7912569046020508,3048.0
craftdroid,craftdroid,android,glove,8.0,20.0,30.0,35.0,37.0,0.3967952639519755,2.583369255065918,3448.0
craftdroid,atm,android,glove,10.0,30.0,33.0,39.0,41.0,0.44507306401832364,2.410576343536377,3068.0
custom,union,android,glove,14.0,27.0,37.0,43.0,45.0,0.4825438698206554,4.229665040969849,16244.0
custom,intersection,android,glove,10.0,25.0,34.0,40.0,42.0,0.4366153806713727,3.1825366020202637,5893.0
custom,craftdroid,android,glove,15.0,27.0,34.0,38.0,42.0,0.48678408863545414,4.507803678512573,14045.0
custom,atm,android,glove,14.0,31.0,38.0,43.0,46.0,0.5006537259425915,3.34519624710083,7103.0
atm_0,union,android,glove,14.0,26.0,36.0,42.0,44.0,0.4930755626876315,7.071099758148193,15933.0
atm_0,intersection,android,glove,15.0,25.0,35.0,41.0,43.0,0.48644552372230937,2.985621690750122,5933.0
atm_0,craftdroid,android,glove,14.0,26.0,36.0,42.0,44.0,0.4933235785606474,5.301071405410767,14231.0
atm_0,atm,android,glove,17.0,30.0,37.0,44.0,47.0,0.5283659297052153,4.597601413726807,6826.0
craftdroid,union,blogs,glove,9.0,19.0,30.0,35.0,36.0,0.38749569811133805,8.504833459854126,1565.0
craftdroid,intersection,blogs,glove,9.0,23.0,30.0,40.0,40.0,0.4169442846148396,1.786921739578247,1513.0
craftdroid,craftdroid,blogs,glove,8.0,18.0,30.0,35.0,37.0,0.38162501650536235,3.37359619140625,1553.0
craftdroid,atm,blogs,glove,11.0,24.0,31.0,39.0,39.0,0.42962981337179695,1.8272418975830078,1525.0
custom,union,blogs,glove,10.0,26.0,36.0,39.0,45.0,0.44472571079713924,4.058627605438232,7302.0
custom,intersection,blogs,glove,9.0,22.0,32.0,38.0,38.0,0.41230057797257025,3.1882519721984863,2927.0
custom,craftdroid,blogs,glove,13.0,25.0,36.0,39.0,41.0,0.47237187415758825,4.733556270599365,6483.0
custom,atm,blogs,glove,10.0,24.0,36.0,38.0,43.0,0.43362483902897425,3.2782089710235596,3408.0
atm_0,union,blogs,glove,12.0,25.0,36.0,38.0,41.0,0.4670681219701956,7.939619064331055,7118.0
atm_0,intersection,blogs,glove,16.0,29.0,38.0,43.0,45.0,0.5234894387150024,2.195267677307129,2945.0
atm_0,craftdroid,blogs,glove,12.0,25.0,36.0,38.0,41.0,0.46731613784321147,5.276002883911133,6545.0
atm_0,atm,blogs,glove,17.0,34.0,43.0,46.0,49.0,0.5544841384597022,4.8339245319366455,3252.0
craftdroid,union,standard,glove,7.0,19.0,27.0,35.0,36.0,0.3703808490179287,17.79788613319397,1458.0
craftdroid,intersection,standard,glove,9.0,25.0,28.0,39.0,41.0,0.4234709790296561,1.7852187156677246,1435.0
craftdroid,craftdroid,standard,glove,6.0,19.0,26.0,35.0,36.0,0.3656769219925731,3.3458893299102783,1444.0
craftdroid,atm,standard,glove,11.0,26.0,29.0,39.0,41.0,0.4413542861986776,1.7981176376342773,1449.0
custom,union,standard,glove,13.0,29.0,36.0,41.0,43.0,0.4880172902494329,4.048441171646118,7079.0
custom,intersection,standard,glove,8.0,24.0,34.0,44.0,46.0,0.4337940220681359,3.172180652618408,2687.0
custom,craftdroid,standard,glove,13.0,26.0,38.0,42.0,43.0,0.48892823154902965,4.7260637283325195,6390.0
custom,atm,standard,glove,11.0,28.0,36.0,43.0,49.0,0.47740407566535364,3.3012022972106934,3098.0
atm_0,union,standard,glove,11.0,27.0,36.0,38.0,39.0,0.46042879739308307,7.820293188095093,6840.0
atm_0,intersection,standard,glove,14.0,25.0,35.0,44.0,45.0,0.49162233075048184,2.179638147354126,2691.0
atm_0,craftdroid,standard,glove,11.0,27.0,36.0,38.0,39.0,0.4606768132660989,5.235524415969849,6410.0
atm_0,atm,standard,glove,16.0,31.0,38.0,45.0,46.0,0.531846392403115,4.852036952972412,2931.0
craftdroid,union,googleplay,glove,9.0,22.0,30.0,35.0,36.0,0.40500201683237386,9.416974544525146,974.0
craftdroid,intersection,googleplay,glove,8.0,28.0,32.0,42.0,42.0,0.43322280796537427,2.1290969848632812,958.0
craftdroid,craftdroid,googleplay,glove,8.0,22.0,29.0,35.0,37.0,0.4001692503924646,2.842168092727661,964.0
craftdroid,atm,googleplay,glove,11.0,29.0,33.0,42.0,42.0,0.4537160052442859,2.2864911556243896,968.0
custom,union,googleplay,glove,18.0,29.0,36.0,42.0,46.0,0.5261326966684109,4.248707294464111,5415.0
custom,intersection,googleplay,glove,9.0,22.0,31.0,38.0,39.0,0.417852696071681,3.6945865154266357,1970.0
custom,craftdroid,googleplay,glove,16.0,27.0,36.0,41.0,42.0,0.5106139891854177,3.9792428016662598,4784.0
custom,atm,googleplay,glove,11.0,26.0,35.0,41.0,45.0,0.457627011668365,3.28642201423645,2271.0
atm_0,union,googleplay,glove,10.0,29.0,35.0,38.0,42.0,0.4698380892812284,7.78690242767334,5176.0
