algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,7.823814630508423,95981.0
craftdroid,intersection,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.027418851852417,45422.0
craftdroid,craftdroid,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.243669033050537,95981.0
craftdroid,atm,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.1657679080963135,45422.0
custom,union,android,w2v,3.0,3.0,5.0,6.0,6.0,0.18689319981446154,11.1358482837677,213974.0
custom,intersection,android,w2v,2.0,3.0,5.0,7.0,8.0,0.17132019246703853,6.010647535324097,56181.0
custom,craftdroid,android,w2v,3.0,3.0,5.0,6.0,6.0,0.18689319981446154,10.90786600112915,213974.0
custom,atm,android,w2v,2.0,3.0,5.0,7.0,8.0,0.17132019246703853,6.5374956130981445,56181.0
atm_0,union,android,w2v,2.0,2.0,4.0,4.0,6.0,0.14376115574767662,16.62391495704651,213974.0
atm_0,intersection,android,w2v,0.0,0.0,3.0,5.0,5.0,0.09410123503733488,4.85498571395874,56181.0
atm_0,craftdroid,android,w2v,2.0,2.0,4.0,4.0,6.0,0.14376115574767662,14.335860967636108,213974.0
atm_0,atm,android,w2v,0.0,0.0,3.0,5.0,5.0,0.09410123503733488,8.230388402938843,56181.0
craftdroid,union,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,26.32814383506775,92389.0
craftdroid,intersection,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.0695979595184326,43787.0
craftdroid,craftdroid,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.327153444290161,92389.0
craftdroid,atm,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.1295368671417236,43787.0
custom,union,blogs,w2v,2.0,2.0,5.0,6.0,7.0,0.15723710027150153,11.12415885925293,204508.0
custom,intersection,blogs,w2v,2.0,5.0,7.0,8.0,8.0,0.18585169465103674,5.878556251525879,53579.0
custom,craftdroid,blogs,w2v,2.0,2.0,5.0,6.0,7.0,0.15723710027150153,11.082011699676514,204508.0
custom,atm,blogs,w2v,2.0,5.0,7.0,8.0,8.0,0.18585169465103674,11.887848615646362,53579.0
atm_0,union,blogs,w2v,2.0,2.0,4.0,5.0,6.0,0.1459874901274434,18.37052845954895,204508.0
atm_0,intersection,blogs,w2v,0.0,3.0,5.0,6.0,6.0,0.12224910414664865,4.039627552032471,53579.0
atm_0,craftdroid,blogs,w2v,2.0,2.0,4.0,5.0,6.0,0.1459874901274434,13.737582683563232,204508.0
atm_0,atm,blogs,w2v,0.0,3.0,5.0,6.0,6.0,0.12224910414664865,8.05410385131836,53579.0
craftdroid,union,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,46.85632395744324,96933.0
craftdroid,intersection,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.2544357776641846,46223.0
craftdroid,craftdroid,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.694301605224609,96933.0
craftdroid,atm,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.4249727725982666,46223.0
custom,union,standard,w2v,4.0,5.0,9.0,10.0,11.0,0.24523396076444853,11.6688072681427,220964.0
custom,intersection,standard,w2v,3.0,5.0,8.0,9.0,9.0,0.2156405660379958,6.009577751159668,58326.0
custom,craftdroid,standard,w2v,4.0,5.0,9.0,10.0,11.0,0.24523396076444853,11.591384410858154,220964.0
