algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,intersection,android,w2v,143.0,196.0,205.0,211.0,215.0,0.8169332589747813,6.367450952529907,2782.0
craftdroid,craftdroid,android,w2v,125.0,189.0,201.0,203.0,210.0,0.7608713470305166,9.476826429367065,9651.0
craftdroid,atm,android,w2v,148.0,200.0,207.0,212.0,215.0,0.8287717472838578,6.983221530914307,2790.0
custom,union,android,w2v,139.0,192.0,206.0,210.0,211.0,0.7888324910383735,16.34689164161682,38619.0
custom,intersection,android,w2v,137.0,200.0,206.0,209.0,214.0,0.8070776634125051,12.051199913024902,13096.0
custom,craftdroid,android,w2v,121.0,191.0,200.0,213.0,213.0,0.7595796360502243,16.32561230659485,37130.0
custom,atm,android,w2v,150.0,202.0,207.0,211.0,216.0,0.8266944844999143,12.13750410079956,13936.0
atm_0,union,android,w2v,102.0,139.0,180.0,194.0,201.0,0.6615608574208716,26.33019232749939,38291.0
atm_0,intersection,android,w2v,128.0,196.0,204.0,208.0,212.0,0.7833923607229429,8.837839603424072,13361.0
atm_0,craftdroid,android,w2v,107.0,152.0,184.0,194.0,202.0,0.686780788854133,20.04900336265564,37452.0
atm_0,atm,android,w2v,124.0,191.0,201.0,209.0,211.0,0.7619637892943718,16.07682776451111,13965.0
craftdroid,union,blogs,w2v,140.0,187.0,204.0,206.0,210.0,0.7859696364807391,32.584148645401,7612.0
craftdroid,intersection,blogs,w2v,143.0,192.0,208.0,212.0,215.0,0.8132107774076099,6.717706918716431,1254.0
craftdroid,craftdroid,blogs,w2v,132.0,185.0,204.0,205.0,209.0,0.7743306219005482,9.632836818695068,7612.0
craftdroid,atm,blogs,w2v,150.0,196.0,209.0,213.0,215.0,0.8288467753965492,6.808243036270142,1254.0
custom,union,blogs,w2v,139.0,188.0,203.0,212.0,213.0,0.7854195096842157,16.542455911636353,24131.0
custom,intersection,blogs,w2v,143.0,197.0,208.0,212.0,216.0,0.8194709293974,11.689106941223145,5913.0
custom,craftdroid,blogs,w2v,127.0,194.0,203.0,210.0,214.0,0.7767076333252801,15.540574550628662,23214.0
custom,atm,blogs,w2v,154.0,201.0,211.0,212.0,216.0,0.835823367808662,12.194055318832397,6251.0
atm_0,union,blogs,w2v,102.0,147.0,183.0,196.0,201.0,0.6666699239895943,26.435673475265503,23807.0
atm_0,intersection,blogs,w2v,132.0,194.0,205.0,209.0,214.0,0.7889791207393526,9.113890647888184,6018.0
