algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,intersection,android,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,4.078323125839233,56145.0
craftdroid,craftdroid,android,w2v,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,6.503125190734863,116768.0
craftdroid,atm,android,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,4.820086240768433,56145.0
custom,union,android,w2v,3.0,3.0,3.0,5.0,5.0,0.1700020925360836,13.391573905944824,256709.0
custom,intersection,android,w2v,2.0,3.0,4.0,7.0,7.0,0.1625482531466717,6.962761878967285,67553.0
custom,craftdroid,android,w2v,3.0,3.0,3.0,5.0,5.0,0.1700020925360836,21.844557523727417,256709.0
custom,atm,android,w2v,2.0,3.0,4.0,7.0,7.0,0.1625482531466717,7.144871473312378,67553.0
atm_0,union,android,w2v,2.0,2.0,3.0,3.0,5.0,0.13412690043253675,21.231482982635498,256709.0
atm_0,intersection,android,w2v,0.0,0.0,0.0,5.0,5.0,0.07851084782853611,5.065441608428955,67553.0
atm_0,craftdroid,android,w2v,2.0,2.0,3.0,3.0,5.0,0.13412690043253675,17.618409395217896,256709.0
atm_0,atm,android,w2v,0.0,0.0,0.0,5.0,5.0,0.07851084782853611,9.42415976524353,67553.0
craftdroid,union,blogs,w2v,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,30.153476238250732,111980.0
craftdroid,intersection,blogs,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,3.5722343921661377,53747.0
craftdroid,craftdroid,blogs,w2v,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,7.702574014663696,111980.0
craftdroid,atm,blogs,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,3.638396978378296,53747.0
custom,union,blogs,w2v,2.0,2.0,3.0,5.0,6.0,0.14396060683942966,13.400233030319214,244872.0
custom,intersection,blogs,w2v,2.0,4.0,6.0,6.0,7.0,0.1687662330966919,7.970093727111816,64120.0
custom,craftdroid,blogs,w2v,2.0,2.0,3.0,5.0,6.0,0.14396060683942966,13.47176194190979,244872.0
custom,atm,blogs,w2v,2.0,4.0,6.0,6.0,7.0,0.1687662330966919,6.924814701080322,64120.0
atm_0,union,blogs,w2v,2.0,2.0,3.0,4.0,5.0,0.13555796369330583,21.34520649909973,244872.0
atm_0,intersection,blogs,w2v,0.0,2.0,4.0,6.0,6.0,0.11199668225365413,4.7259204387664795,64120.0
atm_0,craftdroid,blogs,w2v,2.0,2.0,3.0,4.0,5.0,0.13555796369330583,17.78360867500305,244872.0
atm_0,atm,blogs,w2v,0.0,2.0,4.0,6.0,6.0,0.11199668225365413,8.706195831298828,64120.0
craftdroid,union,standard,w2v,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,48.08193635940552,117441.0
craftdroid,intersection,standard,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,3.9037864208221436,56707.0
craftdroid,craftdroid,standard,w2v,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,8.345606327056885,117441.0
craftdroid,atm,standard,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,3.9761054515838623,56707.0
custom,union,standard,w2v,4.0,4.0,6.0,7.0,10.0,0.22201293479791834,14.690826177597046,263554.0
custom,intersection,standard,w2v,2.0,4.0,7.0,8.0,9.0,0.18278350409664434,7.9095964431762695,69487.0
custom,craftdroid,standard,w2v,4.0,4.0,6.0,7.0,10.0,0.22201293479791834,14.263302564620972,263554.0
custom,atm,standard,w2v,2.0,4.0,7.0,8.0,9.0,0.18278350409664434,8.250549793243408,69487.0
atm_0,union,standard,w2v,2.0,2.0,6.0,7.0,9.0,0.170671537378882,21.92439603805542,263554.0
atm_0,intersection,standard,w2v,0.0,5.0,7.0,7.0,7.0,0.15213540955035945,5.676316976547241,69487.0
atm_0,craftdroid,standard,w2v,2.0,2.0,6.0,7.0,9.0,0.170671537378882,17.899781227111816,263554.0
atm_0,atm,standard,w2v,0.0,5.0,7.0,7.0,7.0,0.15213540955035945,9.838678121566772,69487.0
craftdroid,union,googleplay,w2v,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,29.856487035751343,73815.0
craftdroid,intersection,googleplay,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,5.035173416137695,33888.0
craftdroid,craftdroid,googleplay,w2v,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,8.123218536376953,73815.0
craftdroid,atm,googleplay,w2v,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,4.959580183029175,33888.0
custom,union,googleplay,w2v,2.0,3.0,6.0,8.0,8.0,0.1789341649448019,14.498193979263306,159608.0
custom,intersection,googleplay,w2v,2.0,7.0,8.0,8.0,9.0,0.20396915015325168,7.246789455413818,40338.0
custom,craftdroid,googleplay,w2v,2.0,3.0,6.0,8.0,8.0,0.1789341649448019,15.057006597518921,159608.0
custom,atm,googleplay,w2v,2.0,7.0,8.0,8.0,9.0,0.20396915015325168,7.569588899612427,40338.0
atm_0,union,googleplay,w2v,2.0,3.0,3.0,4.0,6.0,0.14850038193415016,22.44698429107666,159608.0
atm_0,intersection,googleplay,w2v,0.0,1.0,1.0,4.0,4.0,0.08241101066490356,5.015390872955322,40338.0
atm_0,craftdroid,googleplay,w2v,2.0,3.0,3.0,4.0,6.0,0.14850038193415016,19.094144105911255,159608.0
atm_0,atm,googleplay,w2v,0.0,1.0,1.0,4.0,4.0,0.08241101066490356,9.817677736282349,40338.0
craftdroid,union,standard,nnlm,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,19.94256591796875,212.0
craftdroid,intersection,standard,nnlm,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,8.868238687515259,212.0
craftdroid,craftdroid,standard,nnlm,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,16.1386239528656,212.0
craftdroid,atm,standard,nnlm,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,9.148760557174683,212.0
custom,union,standard,nnlm,4.0,5.0,7.0,9.0,10.0,0.2328734912777542,12.165419340133667,0.0
custom,intersection,standard,nnlm,3.0,4.0,6.0,8.0,8.0,0.19122606508341217,11.09864854812622,526.0
custom,craftdroid,standard,nnlm,4.0,5.0,7.0,9.0,10.0,0.2328734912777542,18.236679077148438,0.0
custom,atm,standard,nnlm,3.0,4.0,6.0,8.0,8.0,0.19122606508341217,11.261743068695068,526.0
atm_0,union,standard,nnlm,0.0,2.0,5.0,7.0,7.0,0.14045784778609693,36.48816728591919,1443.0
