algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,10.557369470596313,133262.0
craftdroid,intersection,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.851794004440308,63715.0
craftdroid,craftdroid,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.613836765289307,133262.0
craftdroid,atm,android,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.1244285106658936,63715.0
custom,union,android,w2v,1.0,3.0,3.0,5.0,6.0,0.13141476805921107,17.077848196029663,302053.0
custom,intersection,android,w2v,3.0,4.0,6.0,8.0,8.0,0.19811139382171664,9.635553359985352,81566.0
custom,craftdroid,android,w2v,1.0,3.0,3.0,5.0,6.0,0.13141476805921107,17.790478706359863,302053.0
custom,atm,android,w2v,3.0,4.0,6.0,8.0,8.0,0.19811139382171664,9.760547876358032,81566.0
atm_0,union,android,w2v,3.0,3.0,4.0,4.0,7.0,0.17316740186047272,25.014244079589844,302053.0
atm_0,intersection,android,w2v,2.0,2.0,2.0,7.0,7.0,0.14532084322546004,6.945680379867554,81566.0
atm_0,craftdroid,android,w2v,3.0,3.0,4.0,4.0,7.0,0.17316740186047272,20.635794639587402,302053.0
atm_0,atm,android,w2v,2.0,2.0,2.0,7.0,7.0,0.14532084322546004,12.252478122711182,81566.0
craftdroid,union,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,32.174174070358276,127944.0
craftdroid,intersection,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.15054178237915,60946.0
craftdroid,craftdroid,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.207318544387817,127944.0
craftdroid,atm,blogs,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.0073401927948,60946.0
custom,union,blogs,w2v,2.0,3.0,3.0,5.0,7.0,0.14692985232133307,20.497472763061523,288801.0
custom,intersection,blogs,w2v,3.0,5.0,5.0,8.0,8.0,0.19678686680672255,13.830081224441528,77501.0
custom,craftdroid,blogs,w2v,2.0,3.0,3.0,5.0,7.0,0.14692985232133307,15.999197244644165,288801.0
custom,atm,blogs,w2v,3.0,5.0,5.0,8.0,8.0,0.19678686680672255,9.207625150680542,77501.0
